adults,airconditioning,chapati,child,dal,holidaystatus,rice,sabzi,timeslot,variety,weather
826,0.5,3911,1251,98,0,98,227,1,1,1
872,0,2741,1350,87,0,85,176,0,1,0
760,0.5,3183,1137,75,0.5,72,198,0,2,0
855,0,3769,1282,91,0.5,94,212,0,2,1
614,0,2004,917,68,0.5,60,153,0,2,0
328,0,822,526,27,0.5,24,77,0.5,0,1
315,0,642,495,26,0.5,31,87,0.5,1,0
199,0.5,358,284,35,0,35,66,0,2,0
878,0.5,4262,1269,99,0.5,91,234,0.5,2,0.5
679,0,2111,1073,65,0,66,132,0.5,1,0.5
596,0,2422,923,65,0.5,64,131,0.5,2,0.5
236,0,1525,360,42,0.5,53,103,1,2,1
672,0,2582,1071,63,0.5,68,168,0,0,1
505,0,1228,760,50,0,44,104,1,1,0.5
278,0.5,960,441,21,0,38,94,0,0,0
350,0,855,552,26,0.5,30,83,0,1,0.5
209,0,1294,310,44,0,47,122,0.5,2,1
397,0.5,656,583,20,0,23,79,0,1,0.5
489,0,1592,748,44,0,56,122,1,1,0
252,0,690,382,32,0,35,96,0.5,1,0
723,0,1832,1051,61,0.5,65,162,0,1,0
315,0,426,445,21,0,22,72,0,0,1
693,0,1944,1026,68,0.5,60,167,0.5,1,0.5
820,0.5,3839,1217,90,0,95,207,1,2,0
460,0.5,2040,681,66,0,67,159,0.5,2,0
612,0.5,2487,866,65,0.5,60,167,0,1,1
957,0,2901,1428,88,0.5,70,197,0.5,0,1
559,0.5,2004,844,68,0,69,138,1,1,0.5
692,0.5,3253,1024,73,0.5,77,190,0.5,1,0.5
874,0.5,4367,1326,92,0.5,98,222,1,2,0.5
984,0.5,2905,1444,71,0.5,80,185,0,0,1
521,0,1512,747,59,0,40,128,0,1,1
233,0,553,341,24,0,30,94,1,0,0
769,0,2074,1133,60,0.5,64,150,0.5,0,1
109,0.5,408,164,37,0.5,39,73,0.5,0,0
328,0,1208,506,55,0.5,49,112,0,2,1
353,0.5,901,542,35,0,37,90,0.5,1,0.5
432,0.5,1978,675,62,0.5,66,144,1,2,0
310,0.5,537,427,39,0.5,21,92,0,0,0.5
912,0,3597,1345,91,0,99,225,1,2,0
315,0.5,1318,469,52,0.5,48,126,0,2,0.5
70,0,538,100,31,0,20,96,1,2,1
312,0,667,452,25,0.5,30,91,0,0,0.5
151,0,438,227,20,0,26,78,0,2,0.5
819,0.5,4299,1242,99,0.5,99,222,0,2,0.5
294,0.5,529,462,25,0,21,73,1,0,0
495,0,1184,721,51,0,40,103,0.5,0,0
635,0.5,2289,910,69,0.5,63,166,0.5,0,0
938,0,3213,1392,73,0,79,186,1,1,0.5
106,0.5,598,158,28,0.5,32,89,0,1,0
472,0,1095,693,44,0,48,110,0.5,1,0.5
658,0,3256,955,80,0.5,83,172,1,2,0.5
914,0.5,4289,1348,97,0,91,230,0.5,2,0
256,0.5,624,373,37,0.5,34,76,0,0,0.5
387,0,376,546,33,0,24,93,1,0,1
843,0.5,2630,1256,74,0.5,89,191,0,0,1
634,0,2565,920,60,0,62,168,0.5,1,0
607,0.5,2795,937,87,0.5,83,189,0.5,1,0.5
229,0,989,337,39,0,37,70,1,1,0.5
459,0,1656,696,45,0.5,46,109,0.5,0,0.5
591,0,2001,925,62,0.5,66,158,1,2,0.5
963,0,2789,1456,79,0.5,83,197,0.5,0,1
